                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93931,                 1.2934,                0.91239,                0.94474,                0.86293,                0.92005,                0.70847,                0.82269,                 1.3646,                0.87605,                0.00066,                0.00066,                0.00066
                      1,                0.81959,                0.74278,                0.88844,                0.91833,                0.90083,                0.95651,                0.77603,                0.69266,                0.64346,                0.86623,              0.0013135,              0.0013135,              0.0013135
                      2,                0.77812,                0.63337,                 0.8776,                0.94793,                0.89252,                0.96774,                0.79776,                0.67334,                0.56289,                0.85843,              0.0019539,              0.0019539,              0.0019539
                      3,                0.73141,                0.56795,                0.86347,                0.96227,                0.89346,                 0.9726,                   0.81,                 0.6279,                0.52305,                0.85065,              0.0019406,              0.0019406,              0.0019406
                      4,                0.68025,                0.50386,                0.85782,                0.95644,                0.89965,                0.97567,                0.84094,                0.57459,                0.44225,                0.83993,              0.0019406,              0.0019406,              0.0019406
                      5,                0.66669,                0.48251,                0.85375,                0.96489,                0.91211,                0.97531,                0.84767,                0.53181,                0.43084,                0.83179,              0.0019208,              0.0019208,              0.0019208
                      6,                0.64929,                0.46839,                0.84728,                0.94989,                0.93765,                0.97921,                0.86159,                0.50599,                0.38913,                 0.8277,               0.001901,               0.001901,               0.001901
                      7,                0.63374,                 0.4327,                 0.8487,                0.94682,                0.93468,                0.98023,                0.86871,                0.50022,                0.38873,                0.82609,              0.0018812,              0.0018812,              0.0018812
                      8,                0.59176,                0.41616,                0.83844,                0.96102,                0.95071,                0.98154,                0.87754,                0.48898,                0.37637,                0.82372,              0.0018614,              0.0018614,              0.0018614
                      9,                0.59205,                0.40747,                0.84014,                0.95233,                0.94834,                0.98338,                0.88137,                0.49326,                0.36382,                0.82621,              0.0018416,              0.0018416,              0.0018416
                     10,                0.58838,                 0.3992,                0.83944,                0.95333,                0.95824,                0.98502,                0.87961,                0.49815,                0.37048,                0.82359,              0.0018218,              0.0018218,              0.0018218
                     11,                0.58182,                0.39666,                0.83723,                 0.9797,                0.95665,                0.98471,                0.88561,                0.46371,                0.34578,                 0.8201,               0.001802,               0.001802,               0.001802
                     12,                0.58261,                0.39047,                 0.8352,                0.97483,                0.95962,                0.98625,                0.89178,                0.48173,                0.34472,                0.81988,              0.0017822,              0.0017822,              0.0017822
                     13,                0.54987,                0.37375,                0.82969,                0.97959,                0.96021,                0.98497,                0.88367,                0.48687,                0.34895,                0.82023,              0.0017624,              0.0017624,              0.0017624
                     14,                0.55866,                0.37135,                0.83071,                0.99448,                0.96322,                0.98714,                0.89903,                0.45355,                0.32837,                0.81627,              0.0017426,              0.0017426,              0.0017426
                     15,                 0.5527,                0.35936,                0.82956,                0.98432,                0.96675,                0.99014,                0.90895,                0.43812,                0.31267,                0.81421,              0.0017228,              0.0017228,              0.0017228
                     16,                0.53718,                0.35303,                0.82586,                 0.9927,                0.96947,                0.99054,                0.91176,                0.43299,                0.30547,                0.81116,               0.001703,               0.001703,               0.001703
                     17,                0.53337,                0.35005,                0.82877,                0.98891,                 0.9534,                0.98011,                 0.8858,                0.45563,                0.32165,                0.81897,              0.0016832,              0.0016832,              0.0016832
                     18,                0.53773,                0.35068,                0.82711,                0.99448,                0.96308,                0.98968,                0.90343,                0.47101,                0.31412,                0.81428,              0.0016634,              0.0016634,              0.0016634
                     19,                0.52235,                0.34517,                0.82726,                0.98963,                0.96379,                 0.9875,                0.89678,                0.45947,                0.31509,                0.81409,              0.0016436,              0.0016436,              0.0016436
                     20,                0.51298,                0.33903,                0.82177,                0.98919,                0.97783,                0.99145,                0.91796,                 0.4167,                0.29741,                0.81069,              0.0016238,              0.0016238,              0.0016238
                     21,                0.51546,                0.33791,                0.82413,                0.98903,                 0.9635,                0.98794,                0.90815,                0.43781,                 0.3021,                0.81422,               0.001604,               0.001604,               0.001604
                     22,                0.50222,                0.33317,                0.81927,                0.98399,                0.96556,                0.98741,                0.90705,                0.44692,                0.29912,                0.81292,              0.0015842,              0.0015842,              0.0015842
                     23,                0.50302,                0.33038,                0.82027,                0.99135,                0.97209,                0.98897,                0.91664,                0.41971,                0.29092,                0.80845,              0.0015644,              0.0015644,              0.0015644
                     24,                0.50208,                0.32758,                0.81724,                0.99328,                0.96606,                0.98856,                0.92486,                0.39418,                0.27566,                0.80762,              0.0015446,              0.0015446,              0.0015446
                     25,                0.48473,                0.31512,                0.81618,                0.99158,                0.97387,                0.99357,                0.91781,                0.42869,                0.28597,                0.80795,              0.0015248,              0.0015248,              0.0015248
                     26,                0.48424,                0.31561,                0.81604,                0.99216,                0.96853,                0.98591,                0.91655,                0.39941,                0.28089,                0.81494,               0.001505,               0.001505,               0.001505
                     27,                0.47823,                0.30791,                0.81365,                0.98929,                0.97447,                0.98929,                0.92376,                0.41472,                0.28072,                0.80609,              0.0014852,              0.0014852,              0.0014852
                     28,                0.47934,                0.30838,                0.81204,                0.98918,                0.97688,                0.99382,                0.93747,                0.37771,                0.26481,                0.80193,              0.0014654,              0.0014654,              0.0014654
                     29,                0.47843,                0.30629,                0.81462,                0.98972,                0.97232,                0.98996,                 0.9235,                0.41525,                0.27678,                0.80613,              0.0014456,              0.0014456,              0.0014456
                     30,                 0.4687,                0.30129,                  0.813,                0.99217,                0.97801,                0.99042,                0.91921,                0.39903,                0.26549,                0.80478,              0.0014258,              0.0014258,              0.0014258
                     31,                0.47623,                0.30765,                0.81564,                0.99032,                0.97253,                0.99095,                0.92796,                0.38904,                0.26631,                 0.8056,               0.001406,               0.001406,               0.001406
                     32,                0.47219,                 0.3024,                0.81407,                0.99169,                0.97625,                0.98876,                0.92854,                0.37852,                0.26215,                0.80303,              0.0013862,              0.0013862,              0.0013862
                     33,                0.46763,                0.30007,                0.81571,                0.99619,                 0.9709,                0.99139,                0.93987,                0.37016,                0.25976,                0.80153,              0.0013664,              0.0013664,              0.0013664
                     34,                0.44731,                0.29221,                0.80678,                0.99513,                0.97081,                0.98985,                0.93539,                0.38108,                0.25916,                0.80293,              0.0013466,              0.0013466,              0.0013466
                     35,                0.45143,                0.29097,                0.80807,                0.99238,                0.97684,                0.99242,                0.93235,                0.39107,                0.25687,                0.80114,              0.0013268,              0.0013268,              0.0013268
                     36,                0.44684,                0.28874,                0.81036,                0.99563,                0.97268,                0.99358,                0.93245,                0.38713,                0.25857,                0.80292,               0.001307,               0.001307,               0.001307
                     37,                0.43921,                0.28743,                0.80811,                0.99395,                0.97862,                0.98948,                0.93539,                0.36402,                0.25319,                0.79718,              0.0012872,              0.0012872,              0.0012872
                     38,                0.44233,                 0.2911,                0.80746,                0.99478,                0.97862,                0.99336,                0.93873,                0.37126,                0.25201,                0.80063,              0.0012674,              0.0012674,              0.0012674
                     39,                 0.4441,                0.29101,                0.80927,                0.98968,                0.96767,                0.98875,                0.92992,                   0.39,                0.26674,                 0.8059,              0.0012476,              0.0012476,              0.0012476
                     40,                0.44779,                0.28768,                0.80935,                0.99277,                0.97785,                0.99235,                0.94263,                 0.3508,                0.24039,                0.79764,              0.0012278,              0.0012278,              0.0012278
                     41,                0.42779,                0.27832,                0.80378,                0.99457,                0.97933,                0.99195,                0.94834,                0.35308,                0.24314,                0.79872,               0.001208,               0.001208,               0.001208
                     42,                0.42966,                0.27301,                0.80568,                0.99406,                0.97743,                 0.9941,                0.94758,                0.34819,                0.23729,                0.79698,              0.0011882,              0.0011882,              0.0011882
                     43,                0.42166,                0.27047,                0.80736,                0.99337,                0.97853,                 0.9904,                0.94165,                 0.3609,                0.23836,                0.79827,              0.0011684,              0.0011684,              0.0011684
                     44,                0.43062,                0.27437,                0.80651,                0.99665,                0.96793,                0.99055,                0.93458,                0.38291,                0.25184,                0.80093,              0.0011486,              0.0011486,              0.0011486
                     45,                0.43059,                0.27847,                0.80407,                0.99177,                0.97743,                0.99156,                 0.9417,                0.35402,                0.24285,                0.79691,              0.0011288,              0.0011288,              0.0011288
                     46,                0.43311,                0.27764,                0.80652,                  0.993,                0.97803,                 0.9923,                 0.9438,                0.35815,                0.23836,                0.79859,               0.001109,               0.001109,               0.001109
                     47,                0.42238,                0.27049,                0.80783,                0.99372,                0.97803,                0.99194,                0.94462,                0.34792,                0.23389,                 0.7957,              0.0010892,              0.0010892,              0.0010892
                     48,                0.41829,                0.26746,                0.80272,                 0.9962,                0.97447,                0.99252,                0.94404,                0.35931,                0.23387,                0.79793,              0.0010694,              0.0010694,              0.0010694
                     49,                0.41326,                0.26715,                0.80382,                0.99576,                0.97555,                0.99198,                 0.9467,                0.34971,                0.23447,                 0.7974,              0.0010496,              0.0010496,              0.0010496
                     50,                0.41344,                 0.2648,                0.80205,                0.99274,                0.97504,                0.99079,                0.94261,                0.36492,                0.23693,                 0.7983,              0.0010298,              0.0010298,              0.0010298
                     51,                0.40959,                0.26315,                0.79974,                0.98998,                0.97862,                0.99158,                0.94768,                0.34636,                0.23526,                0.79785,                0.00101,                0.00101,                0.00101
                     52,                0.40578,                0.26344,                0.80376,                0.99278,                0.97973,                0.99256,                0.94518,                0.35305,                0.23235,                0.79742,              0.0009902,              0.0009902,              0.0009902
                     53,                0.41085,                0.26469,                0.80254,                0.99559,                0.97922,                0.99362,                 0.9458,                0.34514,                0.22809,                0.79602,              0.0009704,              0.0009704,              0.0009704
                     54,                0.41001,                0.26435,                0.80236,                0.99273,                0.97862,                0.99285,                0.95093,                0.34712,                 0.2302,                0.79542,              0.0009506,              0.0009506,              0.0009506
                     55,                0.40518,                0.26119,                0.80246,                0.99629,                 0.9804,                0.99432,                0.95075,                0.34169,                0.22653,                0.79558,              0.0009308,              0.0009308,              0.0009308
                     56,                0.39838,                0.25629,                0.79922,                0.99577,                0.97897,                0.99178,                 0.9501,                0.34326,                0.22365,                0.79485,               0.000911,               0.000911,               0.000911
                     57,                0.40096,                0.25611,                0.79872,                0.99697,                0.97782,                0.99436,                0.94899,                0.34303,                0.22535,                0.79539,              0.0008912,              0.0008912,              0.0008912
                     58,                0.39393,                0.25418,                0.80253,                 0.9944,                 0.9804,                0.99433,                0.95372,                0.33807,                0.22086,                0.79405,              0.0008714,              0.0008714,              0.0008714
                     59,                0.39578,                0.25181,                0.80195,                0.99647,                0.97981,                0.99311,                0.94713,                0.34366,                0.22193,                0.79413,              0.0008516,              0.0008516,              0.0008516
                     60,                0.39206,                0.25118,                 0.8009,                0.99413,                0.97803,                 0.9938,                 0.9533,                0.32092,                0.21533,                0.79195,              0.0008318,              0.0008318,              0.0008318
                     61,                0.39743,                0.25047,                0.79927,                0.99398,                0.98097,                0.99427,                0.95136,                0.33524,                0.22007,                0.79203,               0.000812,               0.000812,               0.000812
                     62,                0.38986,                 0.2522,                0.79782,                0.99398,                0.98009,                0.99401,                0.95294,                0.33255,                0.21719,                0.79143,              0.0007922,              0.0007922,              0.0007922
                     63,                0.38632,                0.24922,                0.79586,                0.99349,                0.97743,                0.99387,                0.95422,                0.32127,                0.21491,                0.79241,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.3856,                0.24486,                0.79691,                0.99398,                 0.9805,                0.99421,                0.95093,                0.33273,                0.21626,                0.79245,              0.0007526,              0.0007526,              0.0007526
                     65,                0.37534,                0.24081,                0.79314,                0.99219,                0.98085,                0.99354,                0.95697,                0.32032,                0.20931,                0.79091,              0.0007328,              0.0007328,              0.0007328
                     66,                0.38296,                 0.2412,                0.79821,                0.99176,                 0.9804,                0.99419,                0.95905,                0.31526,                0.20777,                0.79034,               0.000713,               0.000713,               0.000713
